x	y	group	showSelected1
1.14602865202296	50	1	train
1.14602865202296	50	1	validation
1.51816361654725	3.9610696028313	1	train
1.51816361654725	17.6746523908725	1	validation
1.89029858107154	2.49823043649233	1	train
1.89029858107154	18.1831064386415	1	validation
2.26243354559583	1.92666142351553	1	train
2.26243354559583	18.1547647885277	1	validation
2.63456851012012	1.75619347227684	1	train
2.63456851012012	18.2552928637178	1	validation
3.00670347464441	1.79276445143531	1	train
3.00670347464441	18.2760040695703	1	validation
3.3788384391687	1.71814785686197	1	train
3.3788384391687	16.9618720023255	1	validation
3.75097340369299	1.55819897758553	1	train
3.75097340369299	15.6668766048157	1	validation
4.21614210934835	1.38910735351947	1	train
4.21614210934835	14.5970398720992	1	validation
4.58827707387264	1.26563114431773	1	train
4.58827707387264	13.6181628797054	1	validation
4.96041203839693	0.907196224931184	1	train
4.96041203839693	11.7811637033089	1	validation
5.33254700292122	0.689638222571766	1	train
5.33254700292122	9.82195630056683	1	validation
5.70468196744551	0.488006291781361	1	train
5.70468196744551	7.41872971270772	1	validation
6.0768169319698	0.377408572552104	1	train
6.0768169319698	4.88990358994235	1	validation
6.44895189649409	0.267302398741644	1	train
6.44895189649409	4.08398333414079	1	validation
6.82108686101838	0.185116004718836	1	train
6.82108686101838	4.4556949760186	1	validation
7.28625556667375	0.11600471883602	1	train
7.28625556667375	4.83624824378664	1	validation
7.65839053119804	0.0825796303578451	1	train
7.65839053119804	5.09968024805	1	validation
8.03052549572233	0.054463232402674	1	train
8.03052549572233	5.31757182307059	1	validation
8.40266046024662	0.0252654345261502	1	train
8.40266046024662	5.30630783392278	1	validation
8.77479542477091	0.00766810853322847	1	train
8.77479542477091	4.96850927765128	1	validation
9.1469303892952	0.0037357451828549	1	train
9.1469303892952	4.6783101593915	1	validation
9.51906535381949	0.00206449075894613	1	train
9.51906535381949	4.46926021026113	1	validation
9.89120031834378	0.000983090837593394	1	train
9.89120031834378	4.29751465529771	1	validation
10.3563690239991	0.000393236335037358	1	train
10.3563690239991	4.20183130662274	1	validation
1.14602865202296	0	2	train
1.14602865202296	0	2	validation
1.51816361654725	6.27627627627628	2	train
1.51816361654725	0	2	validation
1.89029858107154	5.02252252252252	2	train
1.89029858107154	0	2	validation
2.26243354559583	4.11786786786787	2	train
2.26243354559583	0	2	validation
2.63456851012012	3.46471471471471	2	train
2.63456851012012	0	2	validation
3.00670347464441	3.03303303303303	2	train
3.00670347464441	0	2	validation
3.3788384391687	2.34234234234234	2	train
3.3788384391687	0	2	validation
3.75097340369299	1.80930930930931	2	train
3.75097340369299	0	2	validation
4.21614210934835	1.32507507507508	2	train
4.21614210934835	0	2	validation
4.58827707387264	1.12987987987988	2	train
4.58827707387264	0	2	validation
4.96041203839693	0.671921921921922	2	train
4.96041203839693	0	2	validation
5.33254700292122	0.375375375375375	2	train
5.33254700292122	0	2	validation
5.70468196744551	0.168918918918919	2	train
5.70468196744551	0.00511247443762781	2	validation
6.0768169319698	0.0600600600600601	2	train
6.0768169319698	1.99897750511247	2	validation
6.44895189649409	0.0187687687687688	2	train
6.44895189649409	15.0051124744376	2	validation
6.82108686101838	0.00750750750750751	2	train
6.82108686101838	35.9662576687117	2	validation
7.28625556667375	0.00750750750750751	2	train
7.28625556667375	49.1462167689162	2	validation
7.65839053119804	0.00750750750750751	2	train
7.65839053119804	49.1922290388548	2	validation
8.03052549572233	0.00375375375375375	2	train
8.03052549572233	49.918200408998	2	validation
8.40266046024662	0.00375375375375375	2	train
8.40266046024662	49.9897750511248	2	validation
8.77479542477091	0	2	train
8.77479542477091	50	2	validation
9.1469303892952	0	2	train
9.1469303892952	50	2	validation
9.51906535381949	0	2	train
9.51906535381949	50	2	validation
9.89120031834378	0	2	train
9.89120031834378	50	2	validation
10.3563690239991	0	2	train
10.3563690239991	50	2	validation
