fill	x	y	clickSelects	showSelected2	showSelected3
#F6F4BF	100	-1	McGill0001	1	false.positive
#F6F4BF	100	-2	McGill0001	1	false.positive
#F6F4BF	100	-3	McGill0001	1	false.positive
#F6F4BF	100	-4	McGill0001	1	false.positive
#F6F4BF	100	-5	McGill0001	1	false.positive
#F6F4BF	100	-1	McGill0002	1	false.positive
#F6F4BF	100	-2	McGill0002	1	false.positive
#F6F4BF	100	-3	McGill0002	1	false.positive
#F6F4BF	100	-4	McGill0002	1	false.positive
#F6F4BF	100	-5	McGill0002	1	false.positive
#F6F4BF	31.1394796763723	-1	McGill0001	5	false.positive
#F6F4BF	30.9868707911438	-2	McGill0001	5	false.positive
#F6F4BF	39.6153287146941	-3	McGill0001	5	false.positive
#F6F4BF	46.7394990552783	-4	McGill0001	5	false.positive
#F6F4BF	39.5402354537086	-5	McGill0001	5	false.positive
#F6F4BF	26.3625793323967	-1	McGill0002	5	false.positive
#F6F4BF	25.4372365679957	-2	McGill0002	5	false.positive
#F6F4BF	28.3174264812751	-3	McGill0002	5	false.positive
#F6F4BF	46.8581948549004	-4	McGill0002	5	false.positive
#F6F4BF	38.4961968896856	-5	McGill0002	5	false.positive
#F6F4BF	33.6490480112398	-1	McGill0001	9	false.positive
#F6F4BF	34.9837701661741	-2	McGill0001	9	false.positive
#F6F4BF	39.4215396540865	-3	McGill0001	9	false.positive
#F6F4BF	40.9694297756892	-4	McGill0001	9	false.positive
#F6F4BF	37.5999224843758	-5	McGill0001	9	false.positive
#F6F4BF	27.4986677002083	-1	McGill0002	9	false.positive
#F6F4BF	28.5790417130953	-2	McGill0002	9	false.positive
#F6F4BF	30.0227702146214	-3	McGill0002	9	false.positive
#F6F4BF	51.1191318250085	-4	McGill0002	9	false.positive
#F6F4BF	39.818807228332	-5	McGill0002	9	false.positive
#F6F4BF	36.03507581997	-1	McGill0001	13	false.positive
#F6F4BF	37.5078726805872	-2	McGill0001	13	false.positive
#F6F4BF	39.162346785524	-3	McGill0001	13	false.positive
#F6F4BF	37.3988663339954	-4	McGill0001	13	false.positive
#F6F4BF	37.8179351775592	-5	McGill0001	13	false.positive
#F6F4BF	29.0078000096895	-1	McGill0002	13	false.positive
#F6F4BF	29.1386076255995	-2	McGill0002	13	false.positive
#F6F4BF	29.1143839930236	-3	McGill0002	13	false.positive
#F6F4BF	48.0378857613488	-4	McGill0002	13	false.positive
#F6F4BF	39.8745215832566	-5	McGill0002	13	false.positive
#F6F4BF	37.3383072525556	-1	McGill0001	17	false.positive
#F6F4BF	40.4025967734121	-2	McGill0001	17	false.positive
#F6F4BF	38.7771910275665	-3	McGill0001	17	false.positive
#F6F4BF	38.6512281381716	-4	McGill0001	17	false.positive
#F6F4BF	38.3193643718812	-5	McGill0001	17	false.positive
#F6F4BF	29.4414030327988	-1	McGill0002	17	false.positive
#F6F4BF	29.3663097718134	-2	McGill0002	17	false.positive
#F6F4BF	28.6177995252168	-3	McGill0002	17	false.positive
#F6F4BF	44.1596821859406	-4	McGill0002	17	false.positive
#F6F4BF	40.0319751950002	-5	McGill0002	17	false.positive
#F6F4BF	38.970980088174	-1	McGill0001	21	false.positive
#F6F4BF	42.4083135507001	-2	McGill0001	21	false.positive
#F6F4BF	38.5809796037014	-3	McGill0001	21	false.positive
#F6F4BF	36.9313502252798	-4	McGill0001	21	false.positive
#F6F4BF	37.9124073446054	-5	McGill0001	21	false.positive
#F6F4BF	29.8774284191657	-1	McGill0002	21	false.positive
#F6F4BF	29.9694782229543	-2	McGill0002	21	false.positive
#F6F4BF	28.2568673998353	-3	McGill0002	21	false.positive
#F6F4BF	42.4688726321399	-4	McGill0002	21	false.positive
#F6F4BF	40.1434039048496	-5	McGill0002	21	false.positive
#F6F4BF	36.0496099995155	-1	McGill0001	25	false.positive
#F6F4BF	39.6419747105276	-2	McGill0001	25	false.positive
#F6F4BF	35.9866285548181	-3	McGill0001	25	false.positive
#F6F4BF	32.406375660094	-4	McGill0001	25	false.positive
#F6F4BF	35.1412237779177	-5	McGill0001	25	false.positive
#F6F4BF	29.3178625066615	-1	McGill0002	25	false.positive
#F6F4BF	28.4845695460491	-2	McGill0002	25	false.positive
#F6F4BF	26.8131388983092	-3	McGill0002	25	false.positive
#F6F4BF	38.9612906351437	-4	McGill0002	25	false.positive
#F6F4BF	36.434765757473	-5	McGill0002	25	false.positive
#F6F4BF	31.40351727145	-1	McGill0001	29	false.positive
#F6F4BF	36.1925294317136	-2	McGill0001	29	false.positive
#F6F4BF	32.3724625744877	-3	McGill0001	29	false.positive
