fill	x	y	clickSelects	showSelected2	showSelected3
#F6F4BF	2.95713723948093	4	McGill0008	9	false.positive
#F6F4BF	7.62878489972473	4	McGill0009	9	false.positive
#F6F4BF	12.8352339756193	4	McGill0010	9	false.positive
#F6F4BF	10.9555642941408	4	McGill0011	9	false.positive
#F6F4BF	7.11757766417617	5	McGill0004	9	false.positive
#F6F4BF	1.01454974439638	5	McGill0005	9	false.positive
#F6F4BF	21.0302791977979	5	McGill0006	9	false.positive
#F6F4BF	3.53912701533622	5	McGill0007	9	false.positive
#F6F4BF	3.42902084152576	5	McGill0008	9	false.positive
#F6F4BF	1.61226897365317	5	McGill0009	9	false.positive
#F6F4BF	2.17852929610696	5	McGill0010	9	false.positive
#F6F4BF	7.62878489972473	5	McGill0011	9	false.positive
#F6F4BF	2.44593000393236	1	McGill0006	13	false.positive
#F6F4BF	3.32677939441604	1	McGill0007	13	false.positive
#F6F4BF	0.990955564294141	1	McGill0010	13	false.positive
#F6F4BF	4.37278804561541	1	McGill0011	13	false.positive
#F6F4BF	4.8368069209595	2	McGill0004	13	false.positive
#F6F4BF	0.0235941801022415	2	McGill0005	13	false.positive
#F6F4BF	5.48957923712151	2	McGill0006	13	false.positive
#F6F4BF	4.01101061738105	2	McGill0007	13	false.positive
#F6F4BF	0.0157294534014943	2	McGill0008	13	false.positive
#F6F4BF	2.28863546991742	2	McGill0009	13	false.positive
#F6F4BF	1.60440424695242	2	McGill0010	13	false.positive
#F6F4BF	2.67400707825403	2	McGill0011	13	false.positive
#F6F4BF	3.29532048761306	3	McGill0005	13	false.positive
#F6F4BF	1.6673220605584	3	McGill0006	13	false.positive
#F6F4BF	0.456154148643335	3	McGill0008	13	false.positive
#F6F4BF	1.07746755800236	3	McGill0011	13	false.positive
#F6F4BF	8.26582776248525	4	McGill0004	13	false.positive
#F6F4BF	2.47738891073535	4	McGill0005	13	false.positive
#F6F4BF	25.0098309083759	4	McGill0006	13	false.positive
#F6F4BF	13.1970114038537	4	McGill0007	13	false.positive
#F6F4BF	2.64254817145104	4	McGill0008	13	false.positive
#F6F4BF	5.42666142351553	4	McGill0009	13	false.positive
#F6F4BF	14.2823436885568	4	McGill0010	13	false.positive
#F6F4BF	9.70507274872198	4	McGill0011	13	false.positive
#F6F4BF	5.52890287062525	5	McGill0004	13	false.positive
#F6F4BF	0.581989775855289	5	McGill0005	13	false.positive
#F6F4BF	16.3429020841526	5	McGill0006	13	false.positive
#F6F4BF	2.02909948879276	5	McGill0007	13	false.positive
#F6F4BF	1.6515926071569	5	McGill0008	13	false.positive
#F6F4BF	0.967361384191899	5	McGill0009	13	false.positive
#F6F4BF	1.97404640188753	5	McGill0010	13	false.positive
#F6F4BF	5.47384978372002	5	McGill0011	13	false.positive
#F6F4BF	2.32795910342116	1	McGill0006	17	false.positive
#F6F4BF	2.90994887927645	1	McGill0007	17	false.positive
#F6F4BF	0.00786472670074715	1	McGill0009	17	false.positive
#F6F4BF	1.95831694848604	1	McGill0010	17	false.positive
#F6F4BF	3.74360990955564	1	McGill0011	17	false.positive
#F6F4BF	2.72906016515926	2	McGill0004	17	false.positive
#F6F4BF	4.34919386551317	2	McGill0006	17	false.positive
#F6F4BF	3.47620920173024	2	McGill0007	17	false.positive
#F6F4BF	0.05505308690523	2	McGill0008	17	false.positive
#F6F4BF	1.17970900511207	2	McGill0009	17	false.positive
#F6F4BF	1.56508061344868	2	McGill0010	17	false.positive
#F6F4BF	3.06724341329139	2	McGill0011	17	false.positive
#F6F4BF	3.3031852143138	3	McGill0005	17	false.positive
#F6F4BF	1.5178922532442	3	McGill0006	17	false.positive
#F6F4BF	8.98151789225325	4	McGill0004	17	false.positive
#F6F4BF	2.28863546991742	4	McGill0005	17	false.positive
#F6F4BF	25.7412504915454	4	McGill0006	17	false.positive
#F6F4BF	10.2791977978765	4	McGill0007	17	false.positive
#F6F4BF	2.57176563114432	4	McGill0008	17	false.positive
#F6F4BF	4.9705072748722	4	McGill0009	17	false.positive
#F6F4BF	14.5182854895792	4	McGill0010	17	false.positive
#F6F4BF	7.0232009437672	4	McGill0011	17	false.positive
#F6F4BF	5.42666142351553	5	McGill0004	17	false.positive
#F6F4BF	0.267400707825403	5	McGill0005	17	false.positive
#F6F4BF	17.0192685804168	5	McGill0006	17	false.positive
#F6F4BF	1.74596932756587	5	McGill0007	17	false.positive
#F6F4BF	0.747149036570979	5	McGill0008	17	false.positive
#F6F4BF	0.896578843885175	5	McGill0009	17	false.positive
#F6F4BF	1.6673220605584	5	McGill0010	17	false.positive
#F6F4BF	4.16044042469524	5	McGill0011	17	false.positive
#F6F4BF	2.24144710971294	1	McGill0006	21	false.positive
#F6F4BF	2.89421942587495	1	McGill0007	21	false.positive
#F6F4BF	0.00786472670074715	1	McGill0009	21	false.positive
#F6F4BF	2.09988202909949	1	McGill0010	21	false.positive
#F6F4BF	2.7526543452615	1	McGill0011	21	false.positive
#F6F4BF	2.04482894219426	2	McGill0004	21	false.positive
#F6F4BF	5.32441997640582	2	McGill0006	21	false.positive
#F6F4BF	3.53126228863547	2	McGill0007	21	false.positive
#F6F4BF	0.0707825403067244	2	McGill0008	21	false.positive
#F6F4BF	0.998820290994888	2	McGill0009	21	false.positive
#F6F4BF	1.7852929610696	2	McGill0010	21	false.positive
#F6F4BF	2.78411325206449	2	McGill0011	21	false.positive
#F6F4BF	3.34250884781754	3	McGill0005	21	false.positive
#F6F4BF	1.3841918993315	3	McGill0006	21	false.positive
#F6F4BF	0.558395595753048	3	McGill0007	21	false.positive
#F6F4BF	11.1993708218639	4	McGill0004	21	false.positive
#F6F4BF	2.23358238301219	4	McGill0005	21	false.positive
#F6F4BF	28.0377506881636	4	McGill0006	21	false.positive
#F6F4BF	10.3971686983877	4	McGill0007	21	false.positive
#F6F4BF	2.86276051907196	4	McGill0008	21	false.positive
#F6F4BF	4.06606370428628	4	McGill0009	21	false.positive
#F6F4BF	15.9103421156115	4	McGill0010	21	false.positive
#F6F4BF	6.43334644121117	4	McGill0011	21	false.positive
#F6F4BF	5.23004325599685	5	McGill0004	21	false.positive
#F6F4BF	0.117970900511207	5	McGill0005	21	false.positive
#F6F4BF	17.9866299646087	5	McGill0006	21	false.positive
#F6F4BF	1.3841918993315	5	McGill0007	21	false.positive
#F6F4BF	0.534801415650806	5	McGill0008	21	false.positive
#F6F4BF	0.448289421942588	5	McGill0009	21	false.positive
#F6F4BF	1.37632717263075	5	McGill0010	21	false.positive
#F6F4BF	3.38183248132127	5	McGill0011	21	false.positive
#F6F4BF	2.3515532835234	1	McGill0006	25	false.positive
#F6F4BF	1.43138025953598	1	McGill0007	25	false.positive
#F6F4BF	0.00786472670074715	1	McGill0009	25	false.positive
#F6F4BF	1.87180495477782	1	McGill0010	25	false.positive
#F6F4BF	2.32009437672041	1	McGill0011	25	false.positive
#F6F4BF	0.794337396775462	2	McGill0004	25	false.positive
#F6F4BF	4.10538733779001	2	McGill0006	25	false.positive
#F6F4BF	3.08297286669288	2	McGill0007	25	false.positive
#F6F4BF	0.125835627211954	2	McGill0008	25	false.positive
#F6F4BF	0.935902477388911	2	McGill0009	25	false.positive
#F6F4BF	1.02241447109713	2	McGill0010	25	false.positive
#F6F4BF	3.39756193472277	2	McGill0011	25	false.positive
#F6F4BF	3.3031852143138	3	McGill0005	25	false.positive
#F6F4BF	2.2021234762092	3	McGill0006	25	false.positive
#F6F4BF	0.0865119937082186	3	McGill0007	25	false.positive
#F6F4BF	0.00786472670074715	3	McGill0011	25	false.positive
#F6F4BF	11.073535194652	4	McGill0004	25	false.positive
#F6F4BF	2.32009437672041	4	McGill0005	25	false.positive
#F6F4BF	28.4309870232009	4	McGill0006	25	false.positive
#F6F4BF	11.0263468344475	4	McGill0007	25	false.positive
#F6F4BF	3.47620920173024	4	McGill0008	25	false.positive
#F6F4BF	3.97955171057806	4	McGill0009	25	false.positive
#F6F4BF	16.515926071569	4	McGill0010	25	false.positive
#F6F4BF	6.08729846637829	4	McGill0011	25	false.positive
#F6F4BF	5.31655524970507	5	McGill0004	25	false.positive
#F6F4BF	0.0629178136059772	5	McGill0005	25	false.positive
#F6F4BF	17.7349587101848	5	McGill0006	25	false.positive
#F6F4BF	0.778607943373968	5	McGill0007	25	false.positive
#F6F4BF	0.49547778214707	5	McGill0008	25	false.positive
#F6F4BF	0.361777428234369	5	McGill0009	25	false.positive
#F6F4BF	1.18757373181282	5	McGill0010	25	false.positive
#F6F4BF	1.55721588674794	5	McGill0011	25	false.positive
#F6F4BF	0.0314589068029886	1	McGill0004	29	false.positive
#F6F4BF	2.23358238301219	1	McGill0006	29	false.positive
#F6F4BF	0.33031852143138	1	McGill0007	29	false.positive
#F6F4BF	0.0393236335037357	1	McGill0009	29	false.positive
#F6F4BF	0.707825403067243	1	McGill0010	29	false.positive
#F6F4BF	1.89539913488006	1	McGill0011	29	false.positive
#F6F4BF	0.597719229256783	2	McGill0004	29	false.positive
#F6F4BF	2.83130161226897	2	McGill0006	29	false.positive
#F6F4BF	1.31340935902477	2	McGill0007	29	false.positive
#F6F4BF	0.133700353912702	2	McGill0008	29	false.positive
#F6F4BF	0.652772316162013	2	McGill0009	29	false.positive
#F6F4BF	0.912308297286669	2	McGill0010	29	false.positive
