fill	ymin	ymax	xmin	xmax	showSelected1	showSelected2
#FF7D7D	0	1	0.897946554149086	0.916680731364276	train	difference
#F6F4BF	0	1	0.0833192686357243	0.798649789029536	train	noDifference
#FF7D7D	0	1	0.0833304051442426	0.100513018728697	validation	difference
#F6F4BF	0	1	0.191380582592501	0.916669594855757	validation	noDifference
