x	y	clickSelects	showSelected1
1	1	train	1
0.079221392056626	0.874474474474475	train	5
0.0499646087298466	0.89954954954955	train	9
0.0385332284703107	0.917642642642643	train	13
0.0351238694455368	0.930705705705706	train	17
0.0358552890287063	0.939339339339339	train	21
0.0343629571372395	0.953153153153153	train	25
0.0311639795517106	0.963813813813814	train	29
0.0277821470703893	0.973498498498498	train	34
0.0253126228863547	0.977402402402402	train	38
0.0181439244986237	0.986561561561562	train	42
0.0137927644514353	0.992492492492492	train	46
0.00976012583562721	0.996621621621622	train	50
0.00754817145104208	0.998798798798799	train	54
0.00534604797483287	0.999624624624625	train	58
0.00370232009437672	0.99984984984985	train	62
0.00232009437672041	0.99984984984985	train	67
0.0016515926071569	0.99984984984985	train	71
0.00108926464805348	0.999924924924925	train	75
0.000505308690523004	0.999924924924925	train	79
0.000153362170664569	1	train	83
7.47149036570979e-05	1	train	87
4.12898151789225e-05	1	train	91
1.96618167518679e-05	1	train	95
7.86472670074715e-06	1	train	100
1	1	validation	1
0.353493047817451	1	validation	5
0.363662128772831	1	validation	9
0.363095295770554	1	validation	13
0.365105857274357	1	validation	17
0.365520081391405	1	validation	21
0.339237440046509	1	validation	25
0.313337532096313	1	validation	29
0.291940797441984	1	validation	34
0.272363257594109	1	validation	38
0.235623274066179	1	validation	42
0.196439126011337	1	validation	46
0.148374594254154	0.999897750511247	validation	50
0.097798071798847	0.96002044989775	validation	54
0.0816796666828158	0.699897750511247	validation	58
0.0891138995203721	0.280674846625767	validation	62
0.0967249648757328	0.0170756646216769	validation	67
0.101993604961	0.0161554192229039	validation	71
0.106351436461412	0.00163599182004093	validation	75
0.106126156678455	0.000204498977505074	validation	79
0.0993701855530255	0	validation	83
0.09356620318783	0	validation	87
0.0893852042052226	0	validation	91
0.0859502931059542	0	validation	95
0.0840366261324548	0	validation	100
