group	x	y
2	1.14602865202296	50
2	1.23906239315403	22.3311612809457
2	1.3320961342851	21.5524926117921
2	1.42512987541618	18.7658059202558
2	1.51816361654725	17.6746523908725
2	1.61119735767832	17.5889007315537
2	1.70423109880939	18.1241218933191
2	1.79726483994047	18.3469793130178
2	1.89029858107154	18.1831064386415
2	1.98333232220261	17.9873794874279
2	2.07636606333368	18.0407925972579
2	2.16939980446476	18.1459231626375
2	2.26243354559583	18.1547647885277
2	2.3554672867269	18.1638486507437
2	2.44850102785797	18.1752337580544
2	2.54153476898905	18.1983673271644
2	2.63456851012012	18.2552928637179
2	2.72760225125119	18.2487524829223
2	2.82063599238226	18.277336369362
2	2.91366973351334	18.2932028486992
2	3.00670347464441	18.2760040695703
2	3.09973721577548	17.9447458940943
2	3.19277095690655	17.6073106923114
2	3.28580469803763	17.2817450704908
2	3.3788384391687	16.9618720023255
2	3.47187218029977	16.5750205900877
2	3.56490592143084	16.2883338985514
2	3.65793966256192	15.9803304103483
2	3.75097340369299	15.6668766048157
2	3.84400714482406	15.4196744343782
2	3.93704088595513	15.1929412334674
2	4.03007462708621	14.9709316409089
2	4.12310836821728	14.7960370137106
2	4.21614210934835	14.5970398720992
2	4.30917585047942	14.3836296691052
2	4.4022095916105	14.1094181483455
2	4.49524333274157	13.8696041858437
2	4.58827707387264	13.6181628797054
2	4.68131081500371	13.2051499442856
2	4.77434455613479	12.6928201153045
2	4.86737829726586	12.2277263698464
2	4.96041203839693	11.7811637033089
2	5.053445779528	11.2831258175476
2	5.14647952065908	10.8796812169953
2	5.23951326179015	10.3491836635822
2	5.33254700292122	9.82195630056683
2	5.4255807440523	9.2897630928734
2	5.51861448518337	8.7747686643089
2	5.61164822631444	8.14289520856547
2	5.70468196744551	7.42384218714534
2	5.79771570857658	6.93339734514931
2	5.89074944970766	6.47943433409134
2	5.98378319083873	6.57003220603779
2	6.0768169319698	6.88888109505481
2	6.16985067310088	7.1206073860382
2	6.26288441423195	8.72066599831237
2	6.35591815536302	14.6094910173916
2	6.44895189649409	19.0890958085784
2	6.54198563762517	23.607770743182
2	6.63501937875624	29.701840025149
2	6.72805311988731	35.56465584757
2	6.82108686101838	40.4219526447302
2	6.91412060214946	47.1995509166391
2	7.00715434328053	51.9286469867733
2	7.1001880844116	52.9487447749525
2	7.19322182554267	53.6417398056898
2	7.28625556667375	53.9824650127027
2	7.37928930780482	54.0953790919238
2	7.47232304893589	54.1694333126367
2	7.56535679006696	54.2410396584953
2	7.65839053119804	54.2919092869048
2	7.75142427232911	54.3784196066181
2	7.84445801346018	54.7129932989209
2	7.93749175459125	55.0648678167393
2	8.03052549572233	55.2357722320685
2	8.1235592368534	55.3230157005796
2	8.21659297798447	55.3730630134456
2	8.30962671911554	55.4117252190009
2	8.40266046024662	55.2960828850475
2	8.49569420137769	55.2039629862894
2	8.58872794250876	55.1271740710237
2	8.68176168363983	55.0445714839397
2	8.77479542477091	54.9685092776512
2	8.86782916590198	54.9056489511167
2	8.96086290703305	54.8197761736349
2	9.05389664816412	54.738142531854
2	9.1469303892952	54.6783101593915
2	9.23996413042627	54.6209001501865
2	9.33299787155734	54.5625211956785
2	9.42603161268841	54.5202509568334
2	9.51906535381949	54.4692602102611
2	9.61209909495056	54.4245676081585
2	9.70513283608163	54.3707911438399
2	9.7981665772127	54.3229494695024
2	9.89120031834378	54.2975146552977
2	9.98423405947485	54.2643282786686
2	10.0772678006059	54.2392568189525
2	10.170301541737	54.2267816481759
2	10.2633352828681	54.2139431229107
2	10.3563690239991	54.2018313066227
