ymin	ymax	x	group
0.434931556130043	0.436274394815734	0.000450070323488045	2
0.433167069169795	0.434740979882897	0.00146272855133615	2
0.430359447688667	0.433085495010587	0.00247538677918425	2
0.423971244237898	0.43013284229538	0.00348804500703235	2
0.414156445775037	0.423554836771959	0.00450070323488045	2
0.405713874585613	0.413775658198121	0.00551336146272855	2
0.39577081257787	0.405169631906168	0.00652601969057665	2
0.383508197171969	0.395230969835942	0.00753867791842475	2
0.368788842642184	0.38295771452947	0.00855133614627285	2
0.346451288849869	0.367996996608608	0.00956399437412096	2
0.300975537445339	0.34520042243939	0.0105766526019691	2
0.228765860941159	0.336008668001569	0.0115893108298172	2
0.337914076206248	0.347969464760629	0.0126019690576653	2
0.247051575861513	0.343915013454955	0.0136146272855134	2
0.258222483916161	0.346349285585585	0.0146272855133615	2
0.347574782102543	0.36208327808531	0.0156399437412096	2
0.362981665719905	0.371394491688043	0.0166526019690577	2
0.363896204165495	0.371494784755992	0.0176652601969058	2
0.328976371084208	0.362931528369547	0.0186779184247539	2
0.230798928355284	0.32512785522077	0.019690576652602	2
0.253297586288925	0.337735391709115	0.0207032348804501	2
0.340770765848885	0.370921909949838	0.0217158931082982	2
0.372202314847471	0.385152521108327	0.0227285513361463	2
0.38566198177083	0.39307746815688	0.0237412095639944	2
0.393425673778157	0.397467664384266	0.0247538677918425	2
0.397721159534421	0.402603573590149	0.0257665260196906	2
0.402925233929311	0.407713049528167	0.0267791842475387	2
0.408077773352654	0.413274644967412	0.0277918424753868	2
0.413488456409841	0.416063727099805	0.0288045007032349	2
0.416205600924999	0.417938872590522	0.029817158931083	2
0.416990005695327	0.418466896085969	0.0308298171589311	2
0.413020986275149	0.41685680915083	0.0318424753867792	2
0.407990153971156	0.412768499958935	0.0328551336146273	2
0.403566010954588	0.407727312139616	0.0338677918424754	2
0.396840556650172	0.403116546299397	0.0348804500703235	2
0.390301071236704	0.396430857239234	0.0358931082981716	2
0.386031097173507	0.390103525988988	0.0369057665260197	2
0.384202282923797	0.385705582533309	0.0379184247538678	2
0.379536842609286	0.384190755137839	0.0389310829817159	2
0.370655195826846	0.379142667223694	0.039943741209564	2
0.359527339858565	0.370109360533093	0.0409563994374121	2
0.336307047734853	0.358705863669654	0.0419690576652602	2
0.286803297167462	0.334611904206222	0.0429817158931083	2
0.188848913590982	0.282082790310008	0.0439943741209564	2
0.14564067875412	0.232736788822245	0.0450070323488045	2
0.11124328414317	0.245625107684871	0.0460196905766526	2
0.196525097888622	0.249192464940852	0.0470323488045007	2
0.254723623882476	0.300772209759848	0.0480450070323488	2
0.301432536751534	0.344467099772882	0.0490576652601969	2
0.346129450589956	0.365385535538481	0.050070323488045	2
0.366324833877797	0.380299569122028	0.0510829817158931	2
0.381308055707909	0.391971842197411	0.0520956399437412	2
0.392399011664555	0.399417019660457	0.0531082981715893	2
0.399717179197645	0.405273147935971	0.0541209563994374	2
0.405112465148344	0.405674869479636	0.0551336146272855	2
0.402462617031412	0.404906173836348	0.0561462728551336	2
0.4019036448015	0.404180852566806	0.0571589310829817	2
0.404443251533966	0.406502997878666	0.0581715893108298	2
0.406625361627166	0.408334561410366	0.0591842475386779	2
0.408396290636604	0.411395728942681	0.060196905766526	2
0.411593226121301	0.414840194741406	0.0612095639943741	2
0.41496968135034	0.417290260305302	0.0622222222222222	2
0.41738322979321	0.42003503454853	0.0632348804500703	2
0.420346132215579	0.423030622008536	0.0642475386779184	2
0.423136819827997	0.425219652179303	0.0652601969057665	2
0.425299839187264	0.427236857131601	0.0662728551336146	2
0.427391495311374	0.430707056716377	0.0672855133614627	2
0.430807130491938	0.431787489976205	0.0682981715893108	2
0.431495982882145	0.432063583767769	0.0693108298171589	2
0.425266670150081	0.431277930674554	0.070323488045007	2
0.413808705434597	0.424795038347015	0.0713361462728551	2
0.388038029483686	0.413001120232158	0.0723488045007032	2
0.333195016950009	0.385440533698664	0.0733614627285513	2
0.384063976173607	0.396536860858473	0.0743741209563994	2
0.396937144884485	0.398897458951154	0.0753867791842475	2
0.397706278500891	0.39887667346536	0.0763994374120956	2
0.397061129241624	0.397610736280656	0.0774120956399437	2
0.397105188632926	0.397618883326597	0.0784247538677918	2
0.397639836845158	0.398397034840334	0.0794374120956399	2
0.398200833860877	0.398564697765323	0.0804500703234881	2
0.396458862117214	0.398152113542237	0.0814627285513361	2
0.396074162489139	0.396408330562272	0.0824753867791842	2
0.39596224503818	0.396041541610941	0.0834880450070324	2
0.395925209219479	0.396003861077709	0.0845007032348804	2
0.395887723953381	0.395992862583651	0.0855133614627285	2
0.395312793750076	0.395843359616487	0.0865260196905767	2
0.393062215382136	0.395340944607921	0.0875386779184248	2
0.38894666812197	0.392905568395789	0.0885513361462729	2
0.384539166508721	0.388593627606467	0.089563994374121	2
0.380887726898584	0.384407068975451	0.0905766526019691	2
0.37655900858133	0.380585054651027	0.0915893108298171	2
0.370370306761853	0.376305427652249	0.0926019690576653	2
0.367453043523373	0.37029369428871	0.0936146272855134	2
0.361996108804363	0.367200444494738	0.0946272855133614	2
0.357696132217343	0.361716606134392	0.0956399437412096	2
0.356188915532696	0.35750620171648	0.0966526019690577	2
0.356301913777778	0.358137640488803	0.0976652601969058	2
0.358267093440632	0.360764235428136	0.0986779184247539	2
0.360912583807535	0.363875578739032	0.099690576652602	2
0.364065106340297	0.366284546358148	0.10070323488045	2
0.365134786188237	0.366453135279103	0.101715893108298	2
0.36232460385313	0.365012188279215	0.102728551336146	2
0.359215711154683	0.362088982819156	0.103741209563994	2
0.357585868488953	0.359109631960115	0.104753867791842	2
0.352855663053297	0.357445406149751	0.105766526019691	2
0.340811678824029	0.352420715941473	0.106779184247539	2
0.330140453991703	0.340178505278328	0.107791842475387	2
0.315402239841307	0.329423158257389	0.108804500703235	2
