group	x	y
1	0	0
1	0	0.196846846846847
1	3.7357451828549e-05	0.392342342342342
1	0.000627211954384585	0.566741741741742
1	0.00259929217459693	0.688288288288288
1	0.0052536374360991	0.783858858858859
1	0.0090621313409359	0.83536036036036
1	0.0134781753834054	0.863588588588589
1	0.0179394416044042	0.890165165165165
1	0.0226563114431774	0.906981981981982
1	0.0275796303578451	0.915915915915916
1	0.0324478961856075	0.926876876876877
1	0.0374400314589068	0.933183183183183
1	0.0424852536374361	0.937462462462462
1	0.0475639009044436	0.94039039039039
1	0.0526268187180496	0.943993993993994
1	0.0577172630751081	0.946546546546547
1	0.0628018088871412	0.949324324324324
1	0.0678961856075501	0.951651651651652
1	0.0730043255996854	0.953528528528529
1	0.0781222965001966	0.95503003003003
1	0.0832343688556823	0.956681681681682
1	0.0883543059378687	0.958108108108108
1	0.0934762092017302	0.959459459459459
1	0.0986079433739678	0.960435435435435
1	0.103723948092804	0.961936936936937
1	0.108849783720016	0.963138138138138
1	0.113977585528903	0.964264264264264
1	0.11910145497444	0.965465465465465
1	0.124237121510028	0.966291291291291
1	0.12937082186394	0.967192192192192
1	0.134510420762879	0.967867867867868
1	0.139644121116791	0.968693693693694
1	0.144781753834054	0.969444444444444
1	0.149923318914668	0.970045045045045
1	0.155051120723555	0.971096096096096
1	0.160186787259143	0.971921921921922
1	0.165324419976406	0.972672672672673
1	0.170460086511994	0.973498498498498
1	0.175601651592607	0.974024024024024
1	0.180745182854896	0.97454954954955
1	0.185874950845458	0.975600600600601
1	0.191010617381046	0.976351351351351
1	0.196154148643335	0.976876876876877
1	0.201289815178923	0.977702702702703
1	0.206427447896186	0.978453453453453
1	0.211545418796697	0.97987987987988
1	0.216673220605584	0.981006006006006
1	0.221799056232796	0.982207207207207
1	0.226934722768384	0.982957957957958
1	0.232072355485647	0.983708708708709
1	0.237204089657884	0.984684684684685
1	0.242347620920173	0.98521021021021
1	0.247493118364137	0.985585585585586
1	0.252640581989776	0.985960960960961
1	0.257784113252065	0.986486486486486
1	0.262933543059379	0.986711711711712
1	0.268081006685018	0.987087087087087
1	0.273230436492332	0.987387387387387
1	0.278379866299646	0.987687687687688
1	0.283531262288635	0.987837837837838
1	0.288678725914274	0.988213213213213
