x	y	label	showSelected1	showSelected2	group
6	33	0/13320=0.0% false negative bases	1	train	1
6	33	1672/13320=12.6% false negative bases	5	train	1
6	33	1338/13320=10.0% false negative bases	9	train	1
6	33	1097/13320=8.2% false negative bases	13	train	1
6	33	923/13320=6.9% false negative bases	17	train	1
6	33	808/13320=6.1% false negative bases	21	train	1
6	33	624/13320=4.7% false negative bases	25	train	1
6	33	482/13320=3.6% false negative bases	29	train	1
6	33	353/13320=2.7% false negative bases	34	train	1
6	33	301/13320=2.3% false negative bases	38	train	1
6	33	179/13320=1.3% false negative bases	42	train	1
6	33	100/13320=0.8% false negative bases	46	train	1
6	33	45/13320=0.3% false negative bases	50	train	1
6	33	16/13320=0.1% false negative bases	54	train	1
6	33	5/13320=0.0% false negative bases	58	train	1
6	33	2/13320=0.0% false negative bases	62	train	1
6	33	2/13320=0.0% false negative bases	67	train	1
6	33	2/13320=0.0% false negative bases	71	train	1
6	33	1/13320=0.0% false negative bases	75	train	1
6	33	1/13320=0.0% false negative bases	79	train	1
6	33	0/13320=0.0% false negative bases	83	train	1
6	33	0/13320=0.0% false negative bases	87	train	1
6	33	0/13320=0.0% false negative bases	91	train	1
6	33	0/13320=0.0% false negative bases	95	train	1
6	33	0/13320=0.0% false negative bases	100	train	1
6	33	0/9780=0.0% false negative bases	1	validation	2
6	33	0/9780=0.0% false negative bases	5	validation	2
6	33	0/9780=0.0% false negative bases	9	validation	2
6	33	0/9780=0.0% false negative bases	13	validation	2
6	33	0/9780=0.0% false negative bases	17	validation	2
6	33	0/9780=0.0% false negative bases	21	validation	2
6	33	0/9780=0.0% false negative bases	25	validation	2
6	33	0/9780=0.0% false negative bases	29	validation	2
6	33	0/9780=0.0% false negative bases	34	validation	2
6	33	0/9780=0.0% false negative bases	38	validation	2
6	33	0/9780=0.0% false negative bases	42	validation	2
6	33	0/9780=0.0% false negative bases	46	validation	2
6	33	1/9780=0.0% false negative bases	50	validation	2
6	33	391/9780=4.0% false negative bases	54	validation	2
6	33	2935/9780=30.0% false negative bases	58	validation	2
6	33	7035/9780=71.9% false negative bases	62	validation	2
6	33	9613/9780=98.3% false negative bases	67	validation	2
6	33	9622/9780=98.4% false negative bases	71	validation	2
6	33	9764/9780=99.8% false negative bases	75	validation	2
6	33	9778/9780=100.0% false negative bases	79	validation	2
6	33	9780/9780=100.0% false negative bases	83	validation	2
6	33	9780/9780=100.0% false negative bases	87	validation	2
6	33	9780/9780=100.0% false negative bases	91	validation	2
6	33	9780/9780=100.0% false negative bases	95	validation	2
6	33	9780/9780=100.0% false negative bases	100	validation	2
